accession_count	accession	experiment_type	organism	_assay_groups_developmental_stage	_assay_groups_organism_part	_assay_groups_age	_assay_groups_genotype	_assay_groups_disease	_assay_groups_sex
1	E-ATMX-20	microarray_1colour_mrna_differential	Arabidopsis thaliana	mid rosette growth	leaf				
2	E-ATMX-25	microarray_1colour_mrna_differential	Arabidopsis thaliana	mid rosette growth stage	rosette				
3	E-ATMX-26	microarray_1colour_mrna_differential	Arabidopsis thaliana	late rosette growth stage	rosette				
4	E-ATMX-27	microarray_1colour_mrna_differential	Arabidopsis thaliana	mid rosette growth stage	rosette				
5	E-ATMX-34	microarray_1colour_mrna_differential	Arabidopsis thaliana						
6	E-ATMX-6	microarray_1colour_mrna_differential	Arabidopsis thaliana	5.10 Boyes key					
7	E-CBIL-26	microarray_1colour_mrna_differential	Mus musculus						
8	E-CURD-1	rnaseq_mrna_baseline	Arabidopsis thaliana	FL.04 end of flowering stage; LP.04 four leaves visible stage; adult; flower development stage; gynoecium development stage; petal differentiation and expansion stage; seedling	aerial part; carpel; floral bud; flower; flower bud; leaf; mixed leaf and apical meristem; pollen; receptacle; root; rosette; shoot; whole organism	10 day; 11 day; 13 day; 14 day; 14 to 21 day; 19 day; 20 day; 21 day; 28 day; 3 day; 35 day; 4 day; 42 day; 49 day; 7 day; 9 day; not available	35SHF-RPL18B; wild type genotype		
9	E-CURD-113	rnaseq_mrna_differential	Zea mays	seedling development stage; sporophyte vegetative stage	tassel primordia; whole organism	2 week; 4.5 week			
10	E-CURD-146	rnaseq_mrna_baseline	Homo sapiens	infant,juvenile stage; infant,juvenile stage,neonate; juvenile stage	blood	207 month,6 month,179 month; 36 month; 51 month,23 month,147 month,84 month,58 month,153 month,177 month,137 month,92 month,152 month,142 month,133 month,168 month,87 month,62 month,140 month,110 month,190 month,22 month,164 month,201 month,49 month,0 month,93 month,172 month,187 month,89 month,141 month,134 month,61 month,119 month,3 month,199 month; 59 month,178 month,140 month,177 month,65 month		bacterial disease; multisystem inflammatory syndrome in children; normal; viral disease	female,male; male
11	E-CURD-15	rnaseq_mrna_baseline	Drosophila melanogaster	adult	whole organism	5 to 7 day	wild type genotype		female; male
12	E-CURD-23	rnaseq_mrna_baseline	Drosophila pseudoobscura	adult	carcass without reproductive tract; ovary and reproductive tract; testis and reproductive tract	5 to 8 day	wild type genotype		female; male
13	E-CURD-25	rnaseq_mrna_baseline	Sorghum bicolor		nonvascular system; root; shoot; vascular system	3 day	wild type genotype		
14	E-CURD-26	rnaseq_mrna_baseline	Oryza sativa	seedling development stage	leaf	14 day	wild type genotype		
15	E-CURD-27	rnaseq_mrna_baseline	Zea mays		leaf	9 day	wild type genotype		
16	E-CURD-28	rnaseq_mrna_differential	Oryza sativa	seedling development stage	root hair	4 to 5 day			
17	E-CURD-29	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	root hair	4 to 5 day			
18	E-CURD-30	rnaseq_mrna_baseline	Oryza sativa Japonica Group	seedling development stage	root	4 day			
19	E-CURD-31	rnaseq_mrna_baseline	Arabidopsis thaliana	seedling development stage	root	4 day			
20	E-CURD-33	rnaseq_mrna_baseline	Glycine max	seedling developmental stage	root	4 day			
21	E-CURD-34	rnaseq_mrna_baseline	Solanum lycopersicum	seedling development stage	root	6 day			
22	E-CURD-35	rnaseq_mrna_baseline	Zea mays	seedling development stage	root	4 day			
23	E-CURD-37	rnaseq_mrna_differential	Oryza sativa		shoot system	3 week			
24	E-CURD-39	rnaseq_mrna_baseline	Vitis vinifera	E-L 33; E-L 34; E-L 35; E-L 38	berry fruit				
25	E-CURD-40	rnaseq_mrna_differential	Zea mays	seedling developmental stage	leaf	7 day			
26	E-CURD-41	rnaseq_mrna_differential	Zea mays	whole plant flowering stage	endosperm	15 day			
27	E-CURD-42	rnaseq_mrna_differential	Zea mays	LP.02 two leaves visible stage	aerial part	not available			
28	E-CURD-43	rnaseq_mrna_differential	Zea mays	inflorescence emergence stage	ear infructescence				
29	E-CURD-44	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	2 week			
30	E-CURD-45	rnaseq_mrna_differential	Homo sapiens		liver			intrahepatic cholangiocarcinoma	
31	E-CURD-47	rnaseq_mrna_baseline	Vitis vinifera	E-L 34; E-L 35; E-L 36; E-L 38	berry				
32	E-CURD-48	rnaseq_mrna_differential	Oryza sativa Japonica Group	seedling developmental stage	root; shoot	2 week			
33	E-CURD-49	rnaseq_mrna_differential	Oryza sativa Japonica Group	seedling developmental stage	root	2 week			
34	E-CURD-50	microarray_1colour_mrna_differential	Rattus norvegicus	adult	kidney; liver; liver, kidney	6 week			male
35	E-CURD-51	microarray_1colour_mrna_differential	Rattus norvegicus	adult	kidney; kidney, liver; liver; liver, kidney	6 week			male
36	E-CURD-59	microarray_1colour_mrna_differential	Rattus norvegicus		kidney; liver	6 week			male
37	E-CURD-60	microarray_1colour_mrna_differential	Rattus norvegicus		kidney; liver	6 week			male
